S1,action,reward,S2
"[0.03, 0, -0.37499999999999983, 1.0625000000000022, False]",2,0,"[0.36, 0, -0.5749999999999998, 0.5625000000000022, False]"
"[0.36, 0, -0.5749999999999998, 0.5625000000000022, False]",3,0,"[0.13, 0, -0.37499999999999983, 1.0625000000000022, False]"
"[0.13, 0, -0.37499999999999983, 1.0625000000000022, False]",3,0,"[0.04, 0, -0.17499999999999982, 1.5625000000000022, False]"
"[0.04, 0, -0.17499999999999982, 1.5625000000000022, False]",4,0,"[0.04, 1, -0.17499999999999982, 1.5625000000000022, False]"
"[0.04, 1, -0.17499999999999982, 1.5625000000000022, False]",3,0,"[0.04, 1, -0.17499999999999982, 2.062500000000002, False]"
"[0.04, 1, -0.17499999999999982, 2.062500000000002, False]",3,0,"[0.04, 1, -0.17499999999999982, 2.562500000000002, False]"
"[0.04, 1, -0.17499999999999982, 2.562500000000002, False]",1,0,"[0.0, 1, -0.17499999999999982, 2.5416666666666687, False]"
"[0.0, 1, -0.17499999999999982, 2.5416666666666687, False]",4,0,"[0.0, 0, -0.17499999999999982, 2.5416666666666687, False]"
"[0.0, 0, -0.17499999999999982, 2.5416666666666687, False]",2,0,"[0.27, 0, -0.37499999999999983, 2.0416666666666687, False]"
"[0.27, 0, -0.37499999999999983, 2.0416666666666687, False]",4,0,"[0.27, 1, -0.37499999999999983, 2.0416666666666687, False]"
"[0.27, 1, -0.37499999999999983, 2.0416666666666687, False]",1,0,"[0.04, 1, -0.37499999999999983, 2.0208333333333353, False]"
"[0.04, 1, -0.37499999999999983, 2.0208333333333353, False]",3,0,"[0.01, 1, -0.37499999999999983, 2.5208333333333353, False]"
"[0.01, 1, -0.37499999999999983, 2.5208333333333353, False]",1,0,"[0.0, 1, -0.37499999999999983, 2.5000000000000018, False]"
"[0.0, 1, -0.37499999999999983, 2.5000000000000018, False]",1,0,"[0.01, 1, -0.37499999999999983, 2.4791666666666683, False]"
"[0.01, 1, -0.37499999999999983, 2.4791666666666683, False]",1,0,"[0.01, 1, -0.37499999999999983, 2.458333333333335, False]"
