S1,action,reward,S2
"[0.01, 1, -0.5750000000000002, 1.2083333333333346, False]",1,0.0,"[0.02, 1, -0.5750000000000002, 1.1875000000000013, False]"
"[0.02, 1, -0.5750000000000002, 1.1875000000000013, False]",4,0.0,"[0.02, 0, -0.5750000000000002, 1.1875000000000013, False]"
"[0.02, 0, -0.5750000000000002, 1.1875000000000013, False]",1,0.0,"[0.12, 0, -0.5833333333333335, 1.166666666666668, False]"
"[0.12, 0, -0.5833333333333335, 1.166666666666668, False]",0,0.86,"[0.07, 0, -0.5750000000000002, 1.1875000000000013, False]"
"[0.07, 0, -0.5750000000000002, 1.1875000000000013, False]",3,0.0,"[0.15, 0, -0.37500000000000017, 1.6875000000000013, False]"
"[0.15, 0, -0.37500000000000017, 1.6875000000000013, False]",1,0.0,"[0.05, 0, -0.3833333333333335, 1.666666666666668, False]"
"[0.05, 0, -0.3833333333333335, 1.666666666666668, False]",2,0.0,"[0.13, 0, -0.5833333333333335, 1.166666666666668, False]"
"[0.13, 0, -0.5833333333333335, 1.166666666666668, False]",3,0.0,"[0.1, 0, -0.38333333333333347, 1.666666666666668, False]"
"[0.1, 0, -0.38333333333333347, 1.666666666666668, False]",0,0.72,"[0.14, 0, -0.3750000000000001, 1.6875000000000013, False]"
"[0.14, 0, -0.3750000000000001, 1.6875000000000013, False]",3,0.0,"[0.17, 0, -0.1750000000000001, 2.1875000000000013, False]"
"[0.17, 0, -0.1750000000000001, 2.1875000000000013, False]",3,0.0,"[0.17, 0, 0.02499999999999991, 2.6875000000000013, False]"
"[0.17, 0, 0.02499999999999991, 2.6875000000000013, False]",4,0.0,"[0.17, 1, 0.02499999999999991, 2.6875000000000013, False]"
"[0.17, 1, 0.02499999999999991, 2.6875000000000013, False]",4,0.0,"[0.17, 0, 0.02499999999999991, 2.6875000000000013, False]"
"[0.17, 0, 0.02499999999999991, 2.6875000000000013, False]",2,0.0,"[0.17, 0, -0.1750000000000001, 2.1875000000000013, False]"
"[0.17, 0, -0.1750000000000001, 2.1875000000000013, False]",1,0.0,"[0.07, 0, -0.18333333333333343, 2.166666666666668, False]"
"[0.07, 0, -0.18333333333333343, 2.166666666666668, False]",3,0.0,"[0.11, 0, 0.01666666666666658, 2.666666666666668, False]"
"[0.11, 0, 0.01666666666666658, 2.666666666666668, False]",1,0.0,"[0.05, 0, 0.008333333333333246, 2.6458333333333344, False]"
"[0.05, 0, 0.008333333333333246, 2.6458333333333344, False]",4,0.0,"[0.05, 1, 0.008333333333333246, 2.6458333333333344, False]"
"[0.05, 1, 0.008333333333333246, 2.6458333333333344, False]",2,0.2,"[0.03, 1, 0.008333333333333246, 2.1458333333333344, False]"
"[0.03, 1, 0.008333333333333246, 2.1458333333333344, False]",1,0.0,"[0.03, 1, 0.008333333333333246, 2.125000000000001, False]"
"[0.03, 1, 0.008333333333333246, 2.125000000000001, False]",2,0.2,"[0.06, 1, 0.008333333333333246, 1.6250000000000009, False]"
"[0.06, 1, 0.008333333333333246, 1.6250000000000009, False]",2,0.2,"[0.06, 1, 0.008333333333333246, 1.1250000000000009, False]"
"[0.06, 1, 0.008333333333333246, 1.1250000000000009, False]",3,0.0,"[0.01, 1, 0.008333333333333246, 1.6250000000000009, False]"
"[0.01, 1, 0.008333333333333246, 1.6250000000000009, False]",1,0.0,"[0.01, 1, 0.008333333333333246, 1.6041666666666676, False]"
"[0.01, 1, 0.008333333333333246, 1.6041666666666676, False]",3,0.0,"[0.08, 1, 0.008333333333333246, 2.104166666666668, False]"
"[0.08, 1, 0.008333333333333246, 2.104166666666668, False]",0,0.0,"[0.11, 1, 0.008333333333333246, 2.1250000000000013, False]"
"[0.11, 1, 0.008333333333333246, 2.1250000000000013, False]",4,0.0,"[0.11, 0, 0.008333333333333246, 2.1250000000000013, False]"
