S1,action,reward,S2
"[0.03, 1, 0.0, 0.6333333333333333, False]",4,-1.0,"[0.03, 0, -0.5000000000000002, 0.6333333333333333, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",3,-1.0,"[0.03, 0, -0.3000000000000002, 0, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",0,0.94,"[0.03, 0, -0.29166666666666685, 0.6333333333333333, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",0,0.94,"[0.03, 0, -0.2833333333333335, 0.6333333333333333, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",0,0.94,"[0.03, 0, -0.27500000000000013, 0.6333333333333333, False]"
"[0.03, 0, 0.0, 0.6333333333333333, False]",2,-1.0,"[0.38, 0, -0.47500000000000014, 0, False]"
"[0.38, 0, 0.5, 0.43333333333333335, False]",1,0.0,"[0.1, 0, -0.4833333333333335, 0.425, False]"
"[0.1, 0, 0.5208333333333334, 0.425, False]",0,0.92,"[0.04, 0, -0.47500000000000014, 0.43333333333333335, False]"
"[0.04, 0, 0.5, 0.43333333333333335, False]",0,1.0,"[0.0, 0, -0.4666666666666668, 0.44166666666666665, False]"
"[0.0, 0, 0.4791666666666667, 0.44166666666666665, False]",1,0.0,"[0.1, 0, -0.47500000000000014, 0.43333333333333335, False]"
"[0.1, 0, 0.5, 0.43333333333333335, False]",0,0.98,"[0.01, 0, -0.4666666666666668, 0.44166666666666665, False]"
"[0.01, 0, 0.4791666666666667, 0.44166666666666665, False]",0,0.98,"[0.01, 0, -0.4583333333333334, 0.45, False]"
"[0.01, 0, 0.4583333333333333, 0.45, False]",2,-1.0,"[0.29, 0, -0.6583333333333334, 0, False]"
"[0.29, 0, 0.9583333333333334, 0.25, False]",0,0.98,"[0.01, 0, -0.6500000000000001, 0.25833333333333336, False]"
"[0.01, 0, 0.9375, 0.25833333333333336, False]",0,0.94,"[0.03, 0, -0.6416666666666668, 0.26666666666666666, False]"
"[0.03, 0, 0.9166666666666666, 0.26666666666666666, False]",4,-1.0,"[0.03, 1, -0.6416666666666668, 0.26666666666666666, False]"
"[0.03, 1, 0.9166666666666666, 0.26666666666666666, False]",1,-1.0,"[0.07, 1, -0.6416666666666668, 0.26666666666666666, False]"
"[0.07, 1, 0.9375, 0.26666666666666666, False]",0,-1.0,"[0.05, 1, -0.6416666666666668, 0.26666666666666666, False]"
"[0.05, 1, 0.9166666666666666, 0.26666666666666666, False]",3,-1.0,"[0.04, 1, -0.6416666666666668, 0, False]"
"[0.04, 1, 0.4166666666666667, 0.26666666666666666, False]",3,-1.0,"[0.03, 1, -0.6416666666666668, 0, False]"
